BCProviderRegistry
=========================================

Generic: line 0, col 0, Warning - The HTML fragment 'ip-statements.xhtml' is not included anywhere in the produced implementation guide (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 519, col 12, Error - None of the codings provided are in the value set 'BC Language Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-language-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system#B01) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 576, col 12, Error - A definition for CodeSystem 'http://fhir.infoway-inforoute.ca/CodeSystem/scptype' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 576, col 12, Error - None of the codings provided are in the value set 'BC Practitioner Role Code Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-practitioner-role-value-set|1.0.0), and a coding from this value set is required) (codes = http://fhir.infoway-inforoute.ca/CodeSystem/scptype#MD) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 187, col 24, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#SUSPENDED) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 198, col 24, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 209, col 24, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 107, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 107, col 24, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 137, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 137, col 24, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 187, col 24, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#SUSPENDED) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 198, col 24, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 209, col 24, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 107, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 107, col 24, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 137, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 137, col 24, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 164, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 164, col 18, Error - None of the codings provided are in the value set 'BC Language Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-language-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system#B01) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 407, col 18, Error - A definition for CodeSystem 'http://fhir.infoway-inforoute.ca/CodeSystem/scptype' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 407, col 18, Error - None of the codings provided are in the value set 'BC Practitioner Role Code Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-practitioner-role-value-set|1.0.0), and a coding from this value set is required) (codes = http://fhir.infoway-inforoute.ca/CodeSystem/scptype#MD) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 17, col 8, Error - Slice 'Bundle.entry:Practitioner': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 17, col 8, Error - Slice 'Bundle.entry:PractitionerRole': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 613, col 24, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#INACTIVE) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 624, col 24, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 635, col 24, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 652, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 652, col 24, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 692, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 692, col 24, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 725, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 725, col 24, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 773, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-Batch-Bundle.json: line 773, col 24, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
